Institution_Name,State,Policy_2026,Policy_Details,Is_policy_temporary,Link_to_policy,Pct_enroll_no_scores,Control_of_institution
Rutgers University-Newark,NJ,Test Free,3,Yes,https://admissions.rutgers.edu/apply/first-year-applicants#panel-4=&tab=panel-4&chapter=standardized-testing-requirement-639,,Public
Sacred Heart Major Seminary,MI,Test Optional,,Unannounced,,-100%,Private not-for-profit
Sacred Heart University,CT,Test Optional,,No,,,Private not-for-profit
SAE Expression College,CA,Test Optional,6,Unannounced,https://usa.sae.edu/domestic-admission-requirements/,,Private for-profit
SAE Institute of Technology-Nashville,TN,Test Optional,,Unannounced,,,Private for-profit
Saginaw Valley State University,MI,Test Optional,3,Unannounced,https://www.svsu.edu/admissions/freshmen/,11%,Public
Saint Ambrose University,IA,Test Optional,"3,4",Unannounced,https://www.sau.edu/admissions/first-year/apply#,51%,Private not-for-profit
Saint Anselm College,NH,Test Optional,4,No,https://www.anselm.edu/apply-college-dates-and-deadlines/first-year-applicants,78%,Private not-for-profit
Saint Anthony College of Nursing,IL,Test Optional,"3,6",Unannounced,https://www.osfhealthcare.org/sacn/admissions/undergraduate/high-school/,,Private not-for-profit
Saint Charles Borromeo Seminary-Overbrook,PA,Test Optional,,Unannounced,,,Private not-for-profit
Saint Cloud State University,MN,Test Optional,,Unannounced,https://www.stcloudstate.edu/scsu4u/admissions/default.aspx,55%,Public
Saint Edward's University,TX,Test Optional,,Unannounced,,71%,Private not-for-profit
Saint Elizabeth University,NJ,Test Optional,,No,,,Private not-for-profit
Saint Francis University,PA,Test Optional,4,Unannounced,https://www.francis.edu/Undergraduate-Application-Process,19%,Private not-for-profit
Saint Johns River State College,FL,Test Optional,6,Unannounced,,,Public
Saint Johns University,MN,Test Optional,,Unannounced,https://www.slu.edu/admission/freshman/instructions.php#SLU's%20Test-Optional%20Policy,51%,Private not-for-profit
Saint Joseph Seminary College,LA,Test Optional,,Unannounced,https://www.slu.edu/admission/freshman/instructions.php#SLU's%20Test-Optional%20Policy,,Private not-for-profit
Saint Joseph's College of Maine,ME,Test Optional,4,No,https://www.slu.edu/admission/freshman/instructions.php#SLU's%20Test-Optional%20Policy,94%,Private not-for-profit
Saint Joseph's University,PA,Test Optional,,No,https://www.slu.edu/admission/freshman/instructions.php#SLU's%20Test-Optional%20Policy,68%,Private not-for-profit
Saint Leo University,FL,Test Optional,3,No,https://www.slu.edu/admission/freshman/instructions.php#SLU's%20Test-Optional%20Policy,88%,Private not-for-profit
Saint Louis University,MO,Test Optional,,Yes,https://www.slu.edu/admission/freshman/instructions.php#SLU's%20Test-Optional%20Policy,57%,Private not-for-profit
Saint Martin's University,WA,Test Optional,,Unannounced,https://belltowersmu.com/2020/04/26/saint-martins-switches-to-test-optional-admissions-policy/,70%,Private not-for-profit
Saint Mary-of-the-Woods College,IN,Test Optional,,No,https://www.smwc.edu/admission/campus-undergraduate/admission-process/,79%,Private not-for-profit
Saint Mary's College,IN,Test Optional,3,Unannounced,,51%,Private not-for-profit
Saint Mary's College of California,CA,Test Optional,,Unannounced,https://www.stmarys-ca.edu/undergraduate-admissions/first-year-students,,Private not-for-profit
Saint Mary's University of Minnesota,MN,Test Optional,,Unannounced,https://www.smumn.edu/admission/undergraduate/test-optional-policy,79%,Private not-for-profit
Saint Michael's College,VT,Test Optional,,No,https://www.smcvt.edu/admission-aid/apply/admission-process,77%,Private not-for-profit
Saint Norbert College,WI,Test Optional,,Yes,https://snc.edu/apply/first-year-student,69%,Private not-for-profit
Saint Peter's University,NJ,Test Optional,4,Unannounced,,99%,Private not-for-profit
Saint Vincent College,PA,Test Optional,,Unannounced,https://www.stvincent.edu/admission-aid/apply,37%,Private not-for-profit
Saint Xavier University,IL,Test Optional,,No,https://www.sxu.edu/admission/freshman/test-blind.aspx#,,Private not-for-profit
Salem College,NC,Test Optional,,No,https://www.salem.edu/admissions-aid/admissions-faqs,100%,Private not-for-profit
Salem State University,MA,Test Optional,,No,,98%,Public
Salem University,WV,Test Optional,,Unannounced,,,Private for-profit
Salisbury University,MD,Test Optional,,No,,82%,Public
Salish Kootenai College,MT,Test Optional,,Unannounced,,,Public
Salve Regina University,RI,Test Optional,4,No,,77%,Private not-for-profit
Sam Houston State University,TX,Test Optional,3,No,http://catalog.shsu.edu/undergraduate/academic-policies-procedures/admission-standards/,40%,Public
Samford University,AL,Test Optional,,Yes,https://www.samford.edu/admission/apply,10%,Private not-for-profit
San Diego Christian College,CA,Test Optional,,Unannounced,https://sdcc.edu/admissions/first-time-college-students/,,Private not-for-profit
San Diego Global Knowledge University,CA,Test Optional,,Unannounced,https://sdgku.edu/admission-registration-form/,,Private for-profit
San Diego Mesa College,CA,Test Optional,,Unannounced,https://www.sdmesa.edu/admissions/documents/1st%20Time%20College%20Student%20Enrollment%20Process.pdf,,Public
San Diego State University,CA,Test Free,,Unannounced,,,Public
San Francisco Bay University,CA,Test Optional,,Unannounced,https://www.ottawa.edu/ouaz/admissions/admissions-process,100%,Private not-for-profit
San Francisco Conservatory of Music,CA,Test Optional,,Unannounced,,100%,Private not-for-profit
San Francisco State University,CA,Test Free,3,Unannounced,,,Public
San Ignacio University,FL,Test Optional,,Unannounced,https://www.sanignaciouniversity.edu/en/admission-process,,Private for-profit
San Joaquin Valley College-Visalia,CA,Test Optional,6,Unannounced,https://www.sjvc.edu/admissions/admissions-requirements/,,Private for-profit
San Jose State University,CA,Test Free,3,Unannounced,,,Public
Santa Ana College,CA,Test Optional,,Unannounced,https://sac.edu/StudentServices/AdmissionsRecords/Pages/Admission-To-College.aspx,,Public
Santa Clara University,CA,Test Optional,,Yes,https://www.scu.edu/admission/undergraduate/first-year-students/test-optional,49%,Private not-for-profit
Santa Fe College,FL,Test Optional,6,Unannounced,,,Public
Santa Monica College,CA,Test Optional,,Unannounced,https://www.smc.edu/admission-aid/apply/new-students/,,Public
Sarah Lawrence College,NY,Test Optional,,No,,79%,Private not-for-profit
Savannah College of Art and Design,GA,Test Optional,,No,https://www.scad.edu/sites/default/files/PDF/Admission-information-Freshman.pdf,62%,Private not-for-profit
Savannah State University,GA,Test Optional,3,Yes,https://www.usg.edu/announcements/usg_to_extend_temporary_test_optional_admission_for_academic_year_2025_2026,,Public
Savannah State University,GA,Test Optional,,Unannounced,https://www.usg.edu/announcements/usg_to_extend_temporary_test_optional_admission_for_academic_year_2025_2026,,
Schiller International University,FL,Test Optional,,Unannounced,,,Private for-profit
School of the Art Institute of Chicago,IL,Test Optional,,Unannounced,https://www.saic.edu/admissions/freshmen/how-to-apply,,Private not-for-profit
School of Visual Arts,NY,Test Optional,,Unannounced,,92%,Private for-profit
Schoolcraft Community College District,MI,Test Optional,6,No,https://www.schoolcraft.edu/admissions/apply-to-sc/first-year-students/,,Public
Schreiner University,TX,Test Optional,3,Yes,https://schreiner.edu/admissions/apply/freshman/,,Private not-for-profit
Scripps College,CA,Test Optional,,No,https://www.scrippscollege.edu/admission/apply/first-year-applicants,52%,Private not-for-profit
Seattle Central College,WA,Test Optional,6,Unannounced,,,Public
Seattle Film Institute,WA,Test Optional,,Unannounced,,,Private for-profit
Seattle Pacific University,WA,Test Optional,,No,https://spu.edu/undergraduate-admissions/apply/test-score-policy,67%,Private not-for-profit
Seattle University,WA,Test Optional,,No,https://www.seattleu.edu/undergraduate-admissions/apply/freshman/requirements/sat-and-act-exams/test-optional-admissions,65%,Private not-for-profit
Selma University,AL,Test Optional,1,Unannounced,,,Private not-for-profit
Seminole State College of Florida,FL,Test Optional,6,Unannounced,,,Public
Seton Hall University,NJ,Test Optional,,Yes,https://www.shu.edu/undergraduate-admissions/test-optional-admission.cfm,71%,Private not-for-profit
Seton Hill University,PA,Test Optional,4,Unannounced,,44%,Private not-for-profit
Sh'or Yoshuv Rabbinical College,NY,Test Optional,,Unannounced,,,Private not-for-profit
Shasta Bible College and Graduate School,CA,Test Optional,,Unannounced,,,Private not-for-profit
Shasta College,CA,Test Optional,,Unannounced,,,Public
Shaw University,NC,Test Optional,,Unannounced,,100%,Private not-for-profit
Shawnee State University,OH,Test Optional,,Unannounced,,,Public
Shenandoah University,VA,Test Optional,,Unannounced,https://www.su.edu/admissions/future-freshmen/application-information/,,Private not-for-profit
Shepherd University,WV,Test Optional,,Unannounced,https://www.shepherd.edu/admissions/first-time-freshmen,36%,Public
Shippensburg University of Pennsylvania,PA,Test Free,,Yes,https://www.ship.edu/admissions/apply/undergraduate,61%,Public
Shorter College,AK,Test Optional,6,Unannounced,,,
Shorter University,GA,Test Optional,,Unannounced,https://www.shorter.edu/admissions/requirements/undergraduate/#1646340035102-fb072cb1-65f8,68%,Private not-for-profit
Siena College,NY,Test Optional,4,No,https://www.siena.edu/apply/application-process/,65%,Private not-for-profit
Siena Heights University,MI,Test Optional,,No,,77%,Private not-for-profit
Simmons College of Kentucky,KY,Test Optional,,Unannounced,,100%,Private not-for-profit
Simmons University,MA,Test Optional,,Unannounced,https://www.simmons.edu/coronavirus/standardized-test-scores,79%,Private not-for-profit
Simpson College,IA,Test Optional,3,No,,97%,Private not-for-profit
Simpson University,CA,Test Optional,,Unannounced,https://www.shepherd.edu/admissions/first-time-freshmen,,Private not-for-profit
Sinclair Community College,OH,Test Optional,6,No,https://www.sinclair.edu/admissions/new/,,Public
Sinte Gleska University,SD,Test Optional,,Unannounced,,,Public
Sisseton Wahpeton College,SD,Test Optional,,No,https://www.swcollege.edu/newswcollege/admissions/,,Public
Sitting Bull College,ND,Test Optional,6,Unannounced,,,Public
Skagit Valley College,WA,Test Optional,6,No,https://www.skagit.edu/admissions/admissions-faqs/,,Public
Skidmore College,NY,Test Optional,,No,https://catalog.skidmore.edu/admission,62%,Private not-for-profit
Skyline College,CA,Test Optional,6,Unannounced,https://skylinecollege.edu/admissions/apply_new_student.php,,Public
"Skyline College

",--,Test Optional,,Unannounced,,,
Slippery Rock University of Pennsylvania,PA,Test Optional,,Unannounced,"https://www.sru.edu/admissions/first-year-students/first-year-student-admission-requirements#:~:text=Slippery%20Rock%20University%20is%20now,automatically%20be%20admitted%20to%20SRU.",61%,Public
Smith Chason College,CA,Test Optional,,Unannounced,https://wcui.edu/admissions/,,Private for-profit
Smith College,MA,Test Optional,,No,,48%,Private not-for-profit
Snow College,UT,Test Optional,,Unannounced,,,Public
Soka University of America,CA,Test Optional,,Unannounced,https://www.soka.edu/admission/undergraduate-admission/how-apply,60%,Private not-for-profit
Solano Community College,CA,Test Optional,,Unannounced,https://www.solano.edu/enrollment/Getting_Started_Solano_Community_2122.pdf,,Public
Sonoma State University,CA,Test Free,3,Unannounced,,,Public
South Carolina State University,SC,Test Optional,,Unannounced,https://scsu.edu/undergraduate-admissions/,,Public
South College,TN,Test Optional,,Unannounced,,,Private for-profit
South Dakota School of Mines and Technology,SD,Test Optional,"3,6",Unannounced,https://www.sdsmt.edu/Admissions/Apply/Admissions-Requirements/,-7%,Public
South Dakota State University,SD,Test Optional,3,Unannounced,,14%,Public
South Florida Bible College and Theological Seminary,FL,Test Optional,,Unannounced,,,Private not-for-profit
South Florida State College,FL,Test Optional,6,Unannounced,,,Public
South Georgia State College,GA,Test Optional,,Yes,https://www.usg.edu/announcements/usg_to_extend_temporary_test_optional_admission_for_academic_year_2023_2024,,Public
South Seattle College,WA,Test Optional,6,Unannounced,,,Public
South Texas College,TX,Test Optional,,Unannounced,,,Public
South University-Austin,TX,Test Optional,3,Unannounced,https://www.southuniversity.edu/austin/information-technology-bs,,Private for-profit
South University-Columbia,SC,Test Optional,3,Unannounced,https://catalog.southuniversity.edu/admissions-requirements,,Private for-profit
South University-High Point,NC,Test Optional,,Unannounced,https://catalog.southuniversity.edu/admissions-requirements,,Private for-profit
South University-Montgomery,AL,Test Optional,3,Unannounced,https://catalog.southuniversity.edu/admissions-requirements,,Private for-profit
South University-Richmond,VA,Test Optional,3,Unannounced,https://catalog.southuniversity.edu/admissions-requirements,,Private for-profit
South University-Savannah,GA,Test Optional,,Unannounced,https://www.southuniversity.edu/admissions,,Private for-profit
South University-Tampa,FL,Test Optional,,Unannounced,,,Private for-profit
South University-Virginia Beach,VA,Test Optional,,Unannounced,https://catalog.southuniversity.edu/admissions-requirements,,Private for-profit
South University-West Palm Beach,FL,Test Optional,,Unannounced,https://catalog.southuniversity.edu/admissions-requirements,,Private for-profit
Southeast Missouri State University,MO,Test Optional,"1,3",Unannounced,,17%,Public
Southeastern Baptist College,MS,Test Optional,1,Unannounced,,,Private not-for-profit
Southeastern Baptist Theological Seminary,NC,Test Optional,,No,https://news.wfu.edu/test-optional-admissions/,7%,Private not-for-profit
Southeastern College-West Palm Beach,FL,Test Optional,6,Unannounced,https://www.sec.edu/admissions/,100%,Private for-profit
Southeastern Free Will Baptist Bible College,NC,Test Optional,,Unannounced,https://www.sfwbc.edu/admissions-policies/,,Private not-for-profit
Southeastern Oklahoma State University,OK,Test Optional,3,Unannounced,,27%,Public
Southeastern University,FL,Test Optional,,Unannounced,https://seu.edu/admission/admission-requirements/,100%,Private not-for-profit
Southern Adventist University,TN,Test Optional,"3,4",Yes,https://www.southern.edu/undergrad/admissions/general-admissions.html#accordion-d18e209-4,-2%,Private not-for-profit
